date,count
2025-04-10,163
2025-04-14,120
2025-04-08,113
2025-04-21,109
2025-04-09,104
2025-03-06,99
2025-04-11,99
2025-04-17,94
2025-04-30,94
2025-04-22,90
2025-03-12,87
2025-03-14,86
2025-03-26,85
2025-03-10,80
2025-03-04,77
2025-04-25,75
2025-03-18,75
2025-03-17,74
2025-03-20,72
2025-04-15,71
2025-04-29,71
2025-04-23,66
2025-03-05,65
2025-03-03,64
2025-04-18,62
2025-04-24,61
2025-03-11,59
2025-04-01,58
2025-03-25,56
2025-03-19,56
2025-03-07,55
2025-04-03,51
2025-03-13,51
2025-03-21,50
2025-04-28,49
2025-03-27,48
2025-04-16,48
2025-03-24,48
2025-04-02,46
2025-03-31,36
2025-03-28,33
2025-04-07,22
