code,date,open,high,low,close,preclose,volume,amount,turn,isST,limit_pct,limit_price,is_zhangting,pct_chg
sh.600017,2025-04-09,2.98,3.33,2.88,3.33,3.03,145584428.0,450753325.6,4.7334,0,0.1,3.33,True,9.90099009900991
sh.600032,2025-04-03,7.67,8.5,7.66,8.5,7.73,58330274.0,481275259.49,2.4257,0,0.1,8.5,True,9.961190168175937
sh.600051,2025-04-24,6.77,7.4,6.74,7.4,6.73,38338645.0,277027257.36,12.3323,0,0.1,7.4,True,9.955423476968805
sh.600051,2025-04-25,8.14,8.14,8.14,8.14,7.4,9422987.0,76703114.18,3.0311,0,0.1,8.14,True,10.000000000000009
sh.600053,2025-04-14,12.49,13.57,12.31,13.57,12.34,8497848.0,110211889.86,1.9601,0,0.1,13.57,True,9.967585089141018
sh.600053,2025-04-18,12.78,14.09,12.76,14.09,12.81,17220609.0,239317249.81,3.9721,0,0.1,14.09,True,9.992193598750966
sh.600063,2025-03-20,4.57,4.8,4.54,4.8,4.36,224165337.0,1061567841.91,11.6395,0,0.1,4.8,True,10.091743119266038
sh.600067,2025-03-04,2.51,2.77,2.49,2.77,2.52,70391089.0,189962706.88,5.058,0,0.1,2.77,True,9.92063492063493
sh.600081,2025-03-26,11.78,12.97,11.78,12.97,11.79,15234748.0,192685061.36,2.7548,0,0.1,12.97,True,10.008481764206966
sh.600081,2025-03-31,13.96,14.96,13.7,14.96,13.6,56753882.0,809562627.35,10.2624,0,0.1,14.96,True,10.000000000000009
sh.600094,2025-04-08,2.88,3.17,2.88,3.17,2.88,55752458.0,169333483.82,2.509,0,0.1,3.17,True,10.069444444444443
sh.600094,2025-04-09,3.21,3.49,3.02,3.49,3.17,85696833.0,287390245.13,3.8565,0,0.1,3.49,True,10.094637223974768
sh.600095,2025-03-31,7.58,7.58,7.58,7.58,6.89,13372492.0,101363489.36,0.4677,0,0.1,7.58,True,10.0145137880987
sh.600097,2025-03-20,9.68,10.66,9.65,10.66,9.69,10962300.0,112929449.0,4.5499,0,0.1,10.66,True,10.010319917440658
sh.600097,2025-03-21,11.73,11.73,11.73,11.73,10.66,6427400.0,75393402.0,2.6677,0,0.1,11.73,True,10.037523452157604
sh.600101,2025-04-01,10.91,12.0,10.7,12.0,10.91,120095512.0,1365248842.43,21.9207,0,0.1,12.0,True,9.990834097158574
sh.600101,2025-04-25,11.81,12.99,11.63,12.99,11.81,153974175.0,1930618537.51,28.1045,0,0.1,12.99,True,9.991532599491947
sh.600105,2025-03-03,5.47,5.92,5.41,5.92,5.38,220849449.0,1288253139.98,15.106,0,0.1,5.92,True,10.03717472118959
sh.600105,2025-03-25,6.6,7.26,6.51,7.26,6.6,132309406.0,941592612.52,9.0499,0,0.1,7.26,True,10.000000000000009
sh.600105,2025-04-22,6.0,6.14,5.88,6.14,5.58,133123961.0,808663883.26,9.1056,0,0.1,6.14,True,10.035842293906793
sh.600107,2025-03-12,4.69,5.12,4.64,5.12,4.65,27319083.0,136307790.96,7.5886,0,0.1,5.12,True,10.10752688172043
sh.600107,2025-04-14,4.52,4.87,4.49,4.87,4.43,11174600.0,52996487.0,3.1041,0,0.1,4.87,True,9.932279909706555
sh.600108,2025-04-08,2.96,3.25,2.84,3.25,2.95,212248654.0,660092213.26,10.9018,0,0.1,3.25,True,10.169491525423723
sh.600116,2025-04-28,7.43,7.61,7.42,7.61,6.92,129965775.0,984742256.67,6.7969,0,0.1,7.61,True,9.97109826589595
