code,date,open,high,low,close,preclose,volume,amount,turn,isST,board,limitpct,limit_price,is_zt,pct_chg
sh.600006,2025-02-10,8.03,8.03,8.03,8.03,7.3,16000300.0,128482409.0,0.8,0,MAIN,0.1,8.03,True,9.999999999999986
sh.600006,2025-05-20,7.17,7.83,7.15,7.83,7.12,158119521.0,1196217106.35,7.906,0,MAIN,0.1,7.83,True,9.971910112359538
sh.600006,2025-05-29,8.38,8.92,8.38,8.92,8.11,157191408.0,1387642465.62,7.8596,0,MAIN,0.1,8.92,True,9.987669543773126
sh.600010,2025-07-11,1.99,2.09,1.97,2.09,1.9,1395559825.0,2862864852.46,4.4472,0,MAIN,0.1,2.09,True,9.999999999999986
sh.600010,2025-07-24,2.24,2.52,2.22,2.52,2.29,2693263068.0,6569046505.63,8.5825,0,MAIN,0.1,2.52,True,10.043668122270732
sh.600010,2025-07-30,2.75,2.92,2.66,2.92,2.65,3617746433.0,10191375884.09,11.5285,0,MAIN,0.1,2.92,True,10.188679245283016
sh.600010,2025-08-25,2.75,2.99,2.73,2.99,2.72,2122825075.0,6195590906.83,6.7647,0,MAIN,0.1,2.99,True,9.926470588235304
sh.600010,2025-10-13,2.79,2.79,2.7,2.79,2.54,2559651612.0,7104522818.35,8.1567,0,MAIN,0.1,2.79,True,9.842519685039374
sh.600017,2025-04-09,2.98,3.33,2.88,3.33,3.03,145584428.0,450753325.6,4.7334,0,MAIN,0.1,3.33,True,9.90099009900991
sh.600021,2025-08-15,10.7,11.76,10.68,11.76,10.69,175363030.0,2026860090.59,6.2257,0,MAIN,0.1,11.76,True,10.009354536950422
sh.600021,2025-08-18,11.95,12.94,11.8,12.94,11.76,115292593.0,1458813248.67,4.0931,0,MAIN,0.1,12.94,True,10.034013605442183
sh.600021,2025-09-01,15.31,16.84,15.16,16.84,15.31,104445313.0,1708908679.78,3.708,0,MAIN,0.1,16.84,True,9.99346832135859
sh.600021,2025-09-02,18.49,18.52,17.88,18.52,16.84,45607250.0,837520127.34,1.6191,0,MAIN,0.1,18.52,True,9.976247030878849
sh.600021,2025-09-05,18.98,20.77,18.46,20.77,18.88,157134780.0,3058770320.13,5.5786,0,MAIN,0.1,20.77,True,10.010593220338993
sh.600021,2025-10-09,21.56,23.28,20.92,23.28,21.16,169136532.0,3801420612.67,6.0047,0,MAIN,0.1,23.28,True,10.018903591682427
sh.600021,2025-10-15,21.93,24.23,21.6,24.23,22.03,188940468.0,4349850492.36,6.6972,0,MAIN,0.1,24.23,True,9.986382206082611
sh.600021,2025-10-21,22.32,24.33,22.12,24.33,22.12,191336096.0,4538095200.61,6.7821,0,MAIN,0.1,24.33,True,9.990958408679917
sh.600021,2025-10-24,23.46,25.92,23.46,25.92,23.56,175333383.0,4396597201.94,6.2149,0,MAIN,0.1,25.92,True,10.016977928692716
sh.600021,2025-10-29,27.52,30.14,27.52,30.14,27.4,156218846.0,4614465430.68,5.5373,0,MAIN,0.1,30.14,True,10.000000000000009
sh.600021,2025-12-26,19.88,21.86,19.83,21.86,19.87,185882325.0,3928584418.29,6.5888,0,MAIN,0.1,21.86,True,10.015098137896317
sh.600026,2025-09-08,11.56,12.19,11.39,12.19,11.08,187733848.0,2246357456.7,5.4028,0,MAIN,0.1,12.19,True,10.018050541516232
