date,n_zt
2025-01-02,66
2025-01-03,55
2025-01-06,66
2025-01-07,108
2025-01-08,72
2025-01-09,95
2025-01-10,47
2025-01-13,55
2025-01-14,160
2025-01-15,79
2025-01-16,83
2025-01-17,64
2025-01-20,78
2025-01-21,52
2025-01-22,51
2025-01-23,45
2025-01-24,74
2025-01-27,54
2025-02-05,83
2025-02-06,98
2025-02-07,88
2025-02-10,133
2025-02-11,75
2025-02-12,89
2025-02-13,69
2025-02-14,85
2025-02-17,111
2025-02-18,52
2025-02-19,117
2025-02-20,106
2025-02-21,117
2025-02-24,90
2025-02-25,64
2025-02-26,105
2025-02-27,82
2025-02-28,51
2025-03-03,67
2025-03-04,82
2025-03-05,70
2025-03-06,113
2025-03-07,60
2025-03-10,90
2025-03-11,65
2025-03-12,92
2025-03-13,54
2025-03-14,91
2025-03-17,80
2025-03-18,80
2025-03-19,59
2025-03-20,76
2025-03-21,57
2025-03-24,54
2025-03-25,59
2025-03-26,94
2025-03-27,56
2025-03-28,36
2025-03-31,44
2025-04-01,66
2025-04-02,52
2025-04-03,56
2025-04-07,23
2025-04-08,127
2025-04-09,121
2025-04-10,179
2025-04-11,106
2025-04-14,130
2025-04-15,80
2025-04-16,54
2025-04-17,97
2025-04-18,66
2025-04-21,114
2025-04-22,98
2025-04-23,74
2025-04-24,66
2025-04-25,79
2025-04-28,53
2025-04-29,80
2025-04-30,105
2025-05-06,150
2025-05-07,109
2025-05-08,112
2025-05-09,62
2025-05-12,93
2025-05-13,70
2025-05-14,90
2025-05-15,77
2025-05-16,74
2025-05-19,134
2025-05-20,102
2025-05-21,85
2025-05-22,52
2025-05-23,53
2025-05-26,86
2025-05-27,97
2025-05-28,77
2025-05-29,117
2025-05-30,53
2025-06-03,85
2025-06-04,88
2025-06-05,77
2025-06-06,68
2025-06-09,92
2025-06-10,63
2025-06-11,74
2025-06-12,76
2025-06-13,64
2025-06-16,75
2025-06-17,61
2025-06-18,51
2025-06-19,39
2025-06-20,54
2025-06-23,86
2025-06-24,84
2025-06-25,80
2025-06-26,76
2025-06-27,62
2025-06-30,96
2025-07-01,78
2025-07-02,67
2025-07-03,65
2025-07-04,41
2025-07-07,78
2025-07-08,77
2025-07-09,62
2025-07-10,71
2025-07-11,68
2025-07-14,74
2025-07-15,50
2025-07-16,72
2025-07-17,67
2025-07-18,53
2025-07-21,128
2025-07-22,107
2025-07-23,61
2025-07-24,81
2025-07-25,52
2025-07-28,65
2025-07-29,49
2025-07-30,57
2025-07-31,49
2025-08-01,51
2025-08-04,72
2025-08-05,70
2025-08-06,80
2025-08-07,73
2025-08-08,78
2025-08-11,88
2025-08-12,61
2025-08-13,101
2025-08-14,53
2025-08-15,107
2025-08-18,122
2025-08-19,107
2025-08-20,107
2025-08-21,61
2025-08-22,81
2025-08-25,95
2025-08-26,99
2025-08-27,50
2025-08-28,66
2025-08-29,79
2025-09-01,126
2025-09-02,53
2025-09-03,39
2025-09-04,40
2025-09-05,108
2025-09-08,91
2025-09-09,67
2025-09-10,69
2025-09-11,97
2025-09-12,76
2025-09-15,84
2025-09-16,88
2025-09-17,79
2025-09-18,63
2025-09-19,62
2025-09-22,72
2025-09-23,56
2025-09-24,89
2025-09-25,56
2025-09-26,57
2025-09-29,70
2025-09-30,68
2025-10-09,100
2025-10-10,72
2025-10-13,76
2025-10-14,46
2025-10-15,87
2025-10-16,57
2025-10-17,45
2025-10-20,98
2025-10-21,92
2025-10-22,76
2025-10-23,72
2025-10-24,72
2025-10-27,68
2025-10-28,76
2025-10-29,66
2025-10-30,61
2025-10-31,83
2025-11-03,97
2025-11-04,69
2025-11-05,84
2025-11-06,75
2025-11-07,68
2025-11-10,96
2025-11-11,85
2025-11-12,82
2025-11-13,109
2025-11-14,96
2025-11-17,107
2025-11-18,68
2025-11-19,67
2025-11-20,51
2025-11-21,32
2025-11-24,80
2025-11-25,100
2025-11-26,81
2025-11-27,63
2025-11-28,83
2025-12-01,76
2025-12-02,56
2025-12-03,56
2025-12-04,40
2025-12-05,84
2025-12-08,81
2025-12-09,57
2025-12-10,61
2025-12-11,37
2025-12-12,82
2025-12-15,64
2025-12-16,45
2025-12-17,59
2025-12-18,73
2025-12-19,88
2025-12-22,107
2025-12-23,72
2025-12-24,91
2025-12-25,101
2025-12-26,93
2025-12-29,92
2025-12-30,72
2025-12-31,64
