code,date,open,high,low,close,preclose,volume,amount,turn,isST,board,limitpct,limit_price,is_zt,pct_chg
sh.600006,2025-05-20,7.17,7.83,7.15,7.83,7.12,158119521.0,1196217106.35,7.906,0,MAIN,0.1,7.83,True,9.971910112359538
sh.600006,2025-05-29,8.38,8.92,8.38,8.92,8.11,157191408.0,1387642465.62,7.8596,0,MAIN,0.1,8.92,True,9.987669543773126
sh.600037,2025-06-05,7.77,8.48,7.75,8.48,7.71,91418476.0,750912670.25,6.5685,0,MAIN,0.1,8.48,True,9.987029831387817
sh.600053,2025-05-06,13.05,14.34,13.05,14.34,13.04,16068601.0,223114334.31,3.7064,0,MAIN,0.1,14.34,True,9.969325153374232
sh.600053,2025-05-19,16.05,16.05,16.05,16.05,14.59,6372500.0,102278625.0,1.4699,0,MAIN,0.1,16.05,True,10.006854009595623
sh.600053,2025-05-20,17.66,17.66,17.21,17.66,16.05,34197312.0,603283937.92,7.8879,0,MAIN,0.1,17.66,True,10.031152647975073
sh.600059,2025-06-09,9.95,10.88,9.94,10.88,9.89,43057638.0,457441863.34,4.7236,0,MAIN,0.1,10.88,True,10.01011122345803
sh.600081,2025-05-29,15.0,16.6,15.0,16.6,15.09,48011760.0,768453250.38,8.6816,0,MAIN,0.1,16.6,True,10.006626905235262
sh.600082,2025-05-19,3.37,3.66,3.32,3.66,3.33,39132402.0,141073577.2,6.169,0,MAIN,0.1,3.66,True,9.90990990990992
sh.600082,2025-06-06,4.53,4.53,4.53,4.53,4.12,9398754.0,42576355.62,1.4817,0,MAIN,0.1,4.53,True,9.951456310679617
sh.600095,2025-06-24,8.29,9.09,8.29,9.09,8.26,222228663.0,1980044285.96,7.7724,0,MAIN,0.1,9.09,True,10.04842615012107
sh.600095,2025-06-25,9.39,10.0,9.35,10.0,9.09,253729754.0,2484245414.81,8.8742,0,MAIN,0.1,10.0,True,10.011001100110018
sh.600105,2025-05-06,6.45,6.95,6.45,6.95,6.32,97206165.0,665491693.99,6.6489,0,MAIN,0.1,6.95,True,9.968354430379755
sh.600105,2025-05-26,7.75,8.36,7.66,8.36,7.6,348060361.0,2854245897.9,23.8072,0,MAIN,0.1,8.36,True,9.999999999999986
sh.600107,2025-05-09,3.38,3.54,3.37,3.54,3.37,19675531.0,68852155.49,5.4654,1,MAIN,0.05,3.54,True,5.044510385756684
sh.600107,2025-05-20,3.58,3.78,3.58,3.78,3.6,11815400.0,44311436.0,3.2821,1,MAIN,0.05,3.78,True,4.999999999999982
sh.600107,2025-05-21,3.79,3.97,3.76,3.97,3.78,10777720.0,42028346.7,2.9938,1,MAIN,0.05,3.97,True,5.026455026455046
