code,date,close,preclose,pct_chg,turn,amount,circ_mktcap_yi,board_number,is_first_board,ret_20d_prior,isST,board
sh.600006,2025-05-20,7.83,7.12,9.971910112359538,7.906,1196217106.35,151.30497171135846,1,True,2.298850574712641,0,MAIN
sh.600006,2025-05-29,8.92,8.11,9.987669543773126,7.8596,1387642465.62,176.553827881826,1,True,14.548022598870048,0,MAIN
sh.600037,2025-06-05,8.48,7.71,9.987029831387815,6.5685,750912670.25,114.32026646114026,1,True,6.639004149377592,0,MAIN
sh.600053,2025-05-06,14.34,13.04,9.969325153374232,3.7064,223114334.31,60.19704681361969,1,True,-2.395209580838331,0,MAIN
sh.600053,2025-05-19,16.05,14.59,10.006854009595624,1.4699,102278625.0,69.5820293897544,1,True,4.0656205420827485,0,MAIN
sh.600053,2025-05-20,17.66,16.05,10.031152647975071,7.8879,603283937.92,76.48219905424763,2,False,21.775417298937793,0,MAIN
sh.600059,2025-06-09,10.88,9.89,10.01011122345803,4.7236,457441863.34,96.84178663307645,1,True,7.150595882990252,0,MAIN
sh.600081,2025-05-29,16.6,15.09,10.006626905235262,8.6816,768453250.38,88.51516429920754,1,True,8.327351040918884,0,MAIN
sh.600082,2025-05-19,3.66,3.33,9.90990990990992,6.169,141073577.2,22.868143491651807,1,True,15.625,0,MAIN
sh.600082,2025-06-06,4.53,4.12,9.951456310679616,1.4817,42576355.62,28.73480166025511,1,True,30.379746835443044,0,MAIN
sh.600095,2025-06-24,9.09,8.26,10.04842615012107,7.7724,1980044285.96,254.75326616746437,1,True,0.8547008547008517,0,MAIN
sh.600095,2025-06-25,10.0,9.09,10.011001100110018,8.8742,2484245414.81,279.94021036375113,2,False,11.124694376528122,0,MAIN
sh.600105,2025-05-06,6.95,6.32,9.968354430379756,6.6489,665491693.99,100.09049526839026,1,True,-6.508875739644959,0,MAIN
sh.600105,2025-05-26,8.36,7.6,9.999999999999986,23.8072,2854245897.9,119.89002897862831,1,True,23.778501628664507,0,MAIN
sh.600107,2025-05-09,3.54,3.37,5.044510385756684,5.4654,68852155.49,12.597825500420829,1,True,-28.75264270613108,1,MAIN
sh.600107,2025-05-20,3.78,3.6,4.999999999999982,3.2821,44311436.0,13.50094025166814,1,True,-25.0,1,MAIN
