code,date,month,close,turn,fcap,gain20,streak,yizi,isST,lp,mkt_lu_cnt,promo_rate,peer_cnt,ret_open,ret_close,next_lu,next_dt_yizi
sh.600006,2025-02-10,2025-02,8.03,0.8,16060301125.0,16.376811594202877,1,True,0,0.1,131,0.3902439024390244,0,7.9701120797011304,-1.6189290161892744,False,False
sh.600006,2025-05-20,2025-05,7.83,7.906,15130497171.135845,11.857142857142854,1,False,0,0.1,100,0.33884297520661155,0,-0.766283524904221,-2.6819923371647514,False,False
sh.600006,2025-05-29,2025-05,8.92,7.8596,17655382788.182602,29.651162790697683,1,False,0,0.1,114,0.352112676056338,0,-1.1210762331838486,-8.29596412556054,False,False
sh.600010,2025-07-11,2025-07,2.09,4.4472,64374546961.23405,15.469613259668492,1,False,0,0.1,66,0.30303030303030304,0,5.2631578947368585,1.435406698564612,False,False
sh.600010,2025-07-24,2025-07,2.52,8.5825,76540011717.21527,42.3728813559322,1,False,0,0.1,73,0.24074074074074073,0,2.777777777777768,-1.984126984126977,False,False
sh.600010,2025-07-30,2025-07,2.92,11.5285,88401577690.8531,59.56284153005464,1,False,0,0.1,55,0.28888888888888886,0,-1.0273972602739656,-7.8767123287671215,False,False
sh.600010,2025-08-25,2025-08,2.99,6.7647,91587075654.94403,18.650793650793652,1,False,0,0.1,87,0.22666666666666666,0,0.0,-7.357859531772581,False,False
sh.600010,2025-10-13,2025-10,2.79,8.1567,87100455065.77414,12.5,1,False,0,0.1,70,0.2535211267605634,3,5.017921146953408,4.3010752688172005,False,False
sh.600017,2025-04-09,2025-04,3.33,4.7334,9522823458.824524,10.264900662251652,1,False,0,0.1,110,0.18181818181818182,0,2.402402402402415,4.204204204204198,False,False
sh.600021,2025-08-15,2025-08,11.76,6.2257,32556340501.30909,29.230769230769237,1,False,0,0.1,101,0.3,0,1.6156462585033893,10.034013605442183,True,False
sh.600021,2025-08-18,2025-08,12.94,4.0931,35640791787.88693,35.21421107628002,2,False,0,0.1,118,0.297029702970297,0,3.7867078825347678,1.1591962905718622,False,False
sh.600021,2025-09-01,2025-09,16.84,3.708,46087073348.97519,70.96446700507614,1,False,0,0.1,117,0.21333333333333335,4,9.798099762470303,9.976247030878849,True,False
sh.600021,2025-09-02,2025-09,18.52,1.6191,51727510798.59181,88.4028484231943,2,False,0,0.1,52,0.1623931623931624,5,7.343412526997839,3.88768898488121,False,False
sh.600021,2025-09-05,2025-09,20.77,5.5786,54830429142.25792,92.49304911955517,1,False,0,0.1,101,0.18421052631578946,9,5.922002888781908,7.029369282619169,False,False
