code,date,month,close,turn,fcap,gain20,streak,yizi,isST,lp,mkt_lu_cnt,promo_rate,peer_cnt,ret_open,ret_close,next_lu,next_dt_yizi
sh.600010,2026-02-25,2026-02,2.93,6.6165,88871616903.95222,23.628691983122362,1,False,0,0.1,99,0.21904761904761905,0,2.3890784982935065,1.7064846416382284,False,False
sh.600021,2025-12-26,2025-12,21.86,6.5888,59625188475.74673,-5.203816131830008,1,False,0,0.1,91,0.2553191489361702,0,0.6404391582799596,-5.03202195791399,False,False
sh.600026,2026-02-12,2026-02,18.73,2.5235,64018433356.44938,31.070678796361094,1,False,0,0.1,69,0.3442622950819672,0,-1.7084890549919907,-9.503470368392964,False,False
sh.600026,2026-03-02,2026-03,22.64,6.2891,76137069551.60515,58.54341736694679,1,False,0,0.1,96,0.26666666666666666,0,7.9946996466431,9.982332155477014,True,False
sh.600026,2026-03-03,2026-03,24.9,3.8332,84960694427.89314,64.13974950560315,2,False,0,0.1,77,0.375,1,0.3614457831325302,-4.457831325301198,False,False
sh.600026,2026-03-24,2026-03,25.87,4.1965,87156511048.96938,38.71313672922254,1,False,0,0.1,37,0.3333333333333333,1,3.2083494395052092,-2.0873598763046064,False,False
sh.600028,2026-03-02,2026-03,7.11,1.1489,646631952504.1344,15.609756097560968,1,False,0,0.1,96,0.26666666666666666,0,0.5625879043600568,9.985935302391002,True,False
sh.600028,2026-03-03,2026-03,7.82,1.5856,720698154048.9406,22.57053291536051,2,False,0,0.1,77,0.375,0,3.5805626598465423,-5.370843989769824,False,False
sh.600032,2026-03-23,2026-03,10.76,6.8539,25184202351.070194,38.30334190231361,1,False,0,0.1,18,0.10256410256410256,0,0.743494423791824,10.03717472118959,True,False
sh.600032,2026-03-24,2026-03,11.84,7.5785,26261206165.863956,46.172839506172835,2,False,0,0.1,37,0.3333333333333333,0,-1.6047297297297258,9.966216216216207,True,False
sh.600032,2026-03-25,2026-03,13.02,7.1411,30157202993.93651,60.93943139678615,3,False,0,0.1,38,0.32432432432432434,2,-1.920122887864828,-3.149001536098317,False,False
sh.600032,2026-04-13,2026-04,9.79,4.3976,22527091782.33582,8.898776418242482,1,False,0,0.1,25,0.25925925925925924,3,1.0214504596527174,0.10214504596528506,False,False
sh.600033,2025-11-25,2025-11,3.97,4.2607,10706137549.229,,1,False,0,0.1,94,0.23376623376623376,0,1.5113350125944613,-3.0226700251889227,False,False
sh.600033,2025-12-02,2025-12,4.25,5.9952,11188588957.165733,,1,False,0,0.1,55,0.22972972972972974,0,0.0,1.8823529411764683,False,False
sh.600053,2026-01-07,2026-01,21.56,4.1302,9125452196.261683,14.68085106382977,1,False,0,0.1,97,0.23741007194244604,0,2.0408163265306145,-3.153988868274582,False,False
sh.600053,2026-01-16,2026-01,23.1,5.2526,9579767576.438335,21.578947368421055,1,False,0,0.1,66,0.11475409836065574,0,0.21645021645020357,3.9393939393939315,False,False
sh.600053,2026-02-03,2026-02,24.75,5.1908,10576362882.022038,26.27551020408163,1,False,0,0.1,80,0.37209302325581395,1,1.898989898989889,4.2424242424242475,False,False
sh.600056,2026-04-03,2026-04,11.59,10.4909,17081072501.787264,10.486177311725452,1,False,0,0.1,10,0.09090909090909091,0,-1.035375323554777,-2.674719585849872,False,False
sh.600058,2025-12-09,2025-12,9.48,2.7767,9881468080.095078,,1,False,0,0.1,53,0.19480519480519481,0,0.0,-1.793248945147674,False,False
sh.600058,2025-12-29,2025-12,11.52,5.9784,12133428695.637629,32.566168009205974,1,False,0,0.1,86,0.23076923076923078,0,0.0,0.0,False,False
sh.600058,2026-01-15,2026-01,12.67,1.614,13580716302.973976,36.67745415318231,1,True,0,0.1,61,0.15384615384615385,0,10.023677979479073,10.023677979479073,True,False
sh.600058,2026-01-16,2026-01,13.94,0.393,14941817786.25954,48.14027630180657,2,True,0,0.1,66,0.11475409836065574,0,9.971305595408907,1.147776183644189,False,False
sh.600058,2026-01-22,2026-01,15.63,7.9407,16447397841.248257,59.489795918367335,1,False,0,0.1,87,0.19767441860465115,1,0.5118362124120202,-0.5758157389635365,False,False
sh.600059,2026-01-29,2026-01,10.89,9.1122,9472816437.85255,18.627450980392158,1,False,0,0.1,84,0.2073170731707317,0,-2.5711662075298514,-6.336088154269981,False,False
sh.600063,2026-02-06,2026-02,7.3,5.2696,14696504574.161226,15.506329113924044,1,False,0,0.1,59,0.2037037037037037,0,2.191780821917799,-1.2328767123287676,False,False
sh.600063,2026-04-07,2026-04,7.19,5.7577,14615160714.174065,1.6973125884016893,1,False,0,0.1,35,0.3,0,-2.781641168289295,-0.417246175243402,False,False
sh.600066,2026-03-31,2026-03,35.86,1.5107,79384762958.89323,21.107733873691316,1,False,0,0.1,13,0.07142857142857142,0,2.8722810931399945,3.84829894032348,False,False
sh.600072,2026-02-04,2026-02,13.33,10.1598,14208667341.187817,14.029084687767334,1,False,0,0.1,74,0.175,0,-3.975993998499616,-3.6009002250562694,False,False
sh.600072,2026-04-20,2026-04,13.2,5.2442,13819700111.361122,4.9284578696343395,1,False,0,0.1,31,0.23076923076923078,0,,,False,False
sh.600075,2026-01-06,2026-01,5.47,4.2323,9099211617.323914,11.860940695296529,1,False,0,0.1,139,0.416,0,2.376599634369292,-3.1078610603290646,False,False
sh.600075,2026-03-06,2026-03,7.19,5.0924,12055013606.94368,11.128284389489963,1,False,0,0.1,86,0.15384615384615385,0,1.5299026425591,0.6954102920723182,False,False
sh.600075,2026-03-11,2026-03,7.47,5.0165,12162564313.166552,26.610169491525415,1,False,0,0.1,66,0.22058823529411764,2,1.3386880856760541,4.417670682730934,False,False
sh.600075,2026-04-07,2026-04,6.8,3.9466,11156768963.918308,-6.077348066298349,1,False,0,0.1,35,0.3,1,-4.411764705882348,-5.88235294117646,False,False
sh.600076,2025-12-19,2025-12,3.15,7.4965,4126948879.477089,14.130434782608692,1,False,0,0.1,82,0.2857142857142857,0,1.2698412698412653,0.31746031746031633,False,False
sh.600076,2026-01-14,2026-01,4.06,3.261,5363400517.01932,45.51971326164872,1,False,0,0.1,104,0.3055555555555556,0,5.911330049261099,4.187192118226624,False,False
sh.600076,2026-01-20,2026-01,4.72,7.3142,6048459667.359384,49.84126984126984,1,False,0,0.1,60,0.1568627450980392,1,-0.8474576271186418,-9.745762711864403,False,False
sh.600076,2026-01-23,2026-01,4.22,6.8872,5525298293.791381,23.391812865497073,1,False,0,0.1,116,0.2413793103448276,0,-0.4739336492890933,-3.08056872037914,False,False
sh.600076,2026-03-24,2026-03,3.45,2.2168,4444868002.526163,-11.764705882352944,1,False,0,0.1,37,0.3333333333333333,0,0.0,2.898550724637672,False,False
sh.600078,2026-01-06,2026-01,10.99,6.4966,6968704091.370872,2.9990627928772273,1,False,0,0.1,139,0.416,0,0.09099181073703999,-4.549590536851689,False,False
sh.600078,2026-01-26,2026-01,13.41,8.6489,8711505470.86913,34.234234234234236,1,False,0,0.1,80,0.16379310344827586,0,-2.386278896346017,0.7457121551081247,False,False
sh.600078,2026-02-24,2026-02,12.24,2.2634,7997580846.514093,15.471698113207545,1,False,0,0.1,105,0.2558139534883721,1,9.967320261437917,9.967320261437917,True,False
sh.600078,2026-02-25,2026-02,13.46,3.1633,8918319506.844118,25.67693744164332,2,True,0,0.1,99,0.21904761904761905,5,10.029717682020788,10.029717682020788,True,False
sh.600078,2026-02-26,2026-02,14.81,6.7069,9807687914.684877,32.70609318996416,3,False,0,0.1,79,0.18181818181818182,9,-3.241053342336264,-4.388926401080351,False,False
sh.600079,2025-12-17,2025-12,18.1,8.0783,26895590251.66186,-8.816120906801006,1,False,1,0.05,57,0.19047619047619047,0,-1.6022099447513982,1.104972375690605,False,False
sh.600079,2025-12-19,2025-12,19.22,3.8202,29222678612.63808,0.31315240083507057,1,False,1,0.05,82,0.2857142857142857,0,1.9771071800208206,0.6763787721123959,False,False
sh.600084,2026-01-29,2026-01,6.62,1.1912,7432593854.936199,27.063339731285986,1,False,0,0.1,84,0.2073170731707317,0,9.969788519637458,9.969788519637458,True,False
sh.600084,2026-01-30,2026-01,7.28,1.7775,8176614964.838256,38.66666666666667,2,False,0,0.1,58,0.10714285714285714,0,-4.94505494505495,7.829670329670324,False,False
sh.600084,2026-02-05,2026-02,7.72,3.2228,8428967590.914732,46.489563567362445,1,False,0,0.1,54,0.16216216216216217,2,-1.2953367875647603,-6.217616580310869,False,False
sh.600088,2026-02-10,2026-02,20.01,7.1002,7678247187.825696,11.476323119777177,1,False,0,0.1,69,0.21978021978021978,0,-1.7991004497751262,-6.7466266866566755,False,False
sh.600089,2026-01-13,2026-01,27.37,9.1079,130795189051.92194,14.951700965980685,1,False,0,0.1,72,0.16753926701570682,0,3.397880891487026,-1.9729630982827984,False,False
sh.600089,2026-01-19,2026-01,30.5,14.7056,148772589729.3548,41.07308048103606,1,False,0,0.1,102,0.19696969696969696,0,1.3114754098360715,0.9180327868852478,False,False
