label,n,mean_open,med_open,win_open,mean_close,win_close,next_lu_pct
BASELINE 全部可买涨停,16004,1.815,1.124,64.1,1.59,56.5,20.4
流通市值 0-15亿,928,1.619,1.073,66.1,1.621,58.1,26.2
流通市值 15-30亿,3238,1.79,1.01,63.1,1.475,55.0,23.7
流通市值 30-50亿,3940,1.898,1.092,63.2,1.496,55.2,21.0
流通市值 50-100亿,4394,1.745,1.071,63.1,1.597,56.7,19.8
流通市值 100-200亿,2097,1.929,1.287,64.8,1.812,58.3,16.6
流通市值 200-inf亿,1407,1.822,1.432,69.2,1.743,59.8,15.0
★我编的: 15-100亿,11572,1.81,1.064,63.1,1.528,55.7,21.3
streak=1板,12869,1.715,1.008,63.7,1.554,56.2,17.4
streak=2板,1964,2.264,1.756,65.2,1.651,56.3,29.4
streak=3板,626,2.271,2.202,67.4,2.265,62.8,38.0
streak=4板,281,2.121,2.017,62.3,1.641,60.1,38.4
streak>=5板,264,1.971,2.88,65.2,1.222,56.8,39.8
★对照: 连板>=2,3135,2.228,1.874,65.4,1.737,58.0,32.8
gain20 -inf~0%,1472,1.37,0.934,65.0,1.482,61.1,18.6
gain20 0~10%,2370,1.686,0.925,64.3,1.636,57.4,18.0
gain20 10~20%,3566,2.021,1.216,64.8,1.436,53.5,19.2
gain20 20~30%,2746,1.944,1.237,64.5,1.422,54.4,19.7
gain20 30~50%,2628,2.031,1.455,64.6,1.855,57.8,21.9
gain20 50~inf%,1978,1.585,1.41,61.9,1.861,58.8,26.0
★我编的: gain20<=30%,10154,1.828,1.074,64.6,1.486,55.8,19.0
★反例: gain20>30%,4606,1.839,1.441,63.4,1.858,58.2,23.7
换手 0-3%,2246,2.39,1.78,76.6,2.075,65.5,25.2
换手 3-6%,3543,2.265,1.445,68.3,1.811,58.3,20.2
换手 6-10%,3655,1.93,1.017,63.9,1.644,56.0,19.4
换手 10-15%,2606,1.853,1.01,62.6,1.584,54.0,20.6
换手 15-20%,1563,1.518,0.794,58.2,1.311,53.2,18.5
换手 20-30%,1538,0.864,0.273,53.6,1.007,52.5,18.7
换手 30-inf%,853,0.086,0.0,48.1,0.739,49.1,19.3
★我编的: 换手3-30%,12905,1.83,1.057,62.9,1.562,55.5,19.6
ST股,2235,1.559,1.359,73.6,1.455,64.4,29.1
非ST,13769,1.857,1.056,62.5,1.612,55.3,19.0
共振peer_cnt 0-1,8846,1.921,0.978,62.8,1.616,54.4,16.6
共振peer_cnt 1-3,1789,1.676,1.076,63.6,1.608,57.9,19.8
共振peer_cnt 3-6,1692,1.629,1.045,64.5,1.408,57.7,21.7
共振peer_cnt 6-12,2028,1.648,1.413,65.7,1.553,59.5,26.1
共振peer_cnt 12-25,1385,1.776,1.724,69.0,1.718,61.9,32.6
共振peer_cnt 25-inf,264,1.898,2.203,69.3,1.346,59.5,37.1
当日全市场涨停数 0-40,320,1.639,0.518,57.8,2.277,59.1,27.2
当日全市场涨停数 40-60,2543,1.535,0.685,57.7,1.503,55.3,22.4
当日全市场涨停数 60-80,5889,1.764,1.109,63.8,1.634,56.6,20.7
当日全市场涨停数 80-100,4413,1.858,1.18,65.7,1.389,55.7,19.5
当日全市场涨停数 100-inf,2839,2.127,1.463,68.3,1.811,58.5,18.6
昨日涨停晋级率 0-0.15,654,1.231,0.254,53.4,1.783,57.2,16.5
昨日涨停晋级率 0.15-0.25,7271,1.647,0.992,62.5,1.6,56.3,20.2
昨日涨停晋级率 0.25-0.35,6201,2.013,1.371,66.3,1.711,57.6,21.5
昨日涨停晋级率 0.35-1.01,1823,2.023,1.297,66.6,1.148,54.5,18.9
